,0,1
0,Mohamed Toure and Denise Cros-Toure are accused of holding a Guinean girl against her will for more than a decade.,two photos of a man with a beard and a mustache next to each other
1,"Jessica Chastain at the 29th Annual Palm Springs International Film Festival Awards Gala in Palm Springs, California, on Jan. 2, 2018.",a woman with red hair and a blue background
2,"Bill Cosby after his conviction on three counts of aggravated indecent assault in Norristown, Pennsylvania, on Thursday. An earlier trial had ended with a hung jury.",two men in suits standing next to each other
3,Andrea Constand at the courthouse in June 2017. Cosby's legal team portrayed her as being out for his money.,a woman wearing a white suit and a blue shirt
4,"Comedian Patton Oswalt with his wife, Michelle McNamara, in 2011. McNamara, a crime writer, died before her book about the Golden State Killer was published.",a man and a woman posing in front of a red wall
5,"Cosby outside of the Montgomery County Courthouse during the fifth day of his retrial on April 13, 2018.",an old man in a suit and tie is making a face
6,"Melissa M. Pavey, 45, (left) and Jolene E. Houchens, 38, face felony charges for allegedly impersonating dentists and performing unlicensed dental work.",two photographs of a woman with long hair and a smiling face
7,Bill Cosby's accusers embrace after the 80-year-old comedian was found guilty of three felony counts of aggravated indecent assault.,a group of women hugging each other with their babies
8,"A statue of suffragette Millicent Fawcett was unveiled in Parliament Square in London, England, on April 24, 2018.",a statue of a woman holding a sign that says courage calls to courage everywhere
9,"Lili Bernard, who accused Bill Cosby of sexual assault, waits for the verdict outside Montgomery Counting Courthouse in Norristown, Pennsylvania, on Thursday. (Photo by Bastiaan Slabbers/NurPhoto via Getty Images)",a woman with her hands clasped together looking up at the sky
10,"Circuit Court Judge Rosemarie Aquilina addresses Larry Nassar on Jan. 18, 2018, during his sentencing hearing in Lansing, Michigan.",a woman sitting at a desk talking to a man
11,"A 2016 FBI sketch of the East Area Rapist/Golden State Killer described as a white male, currently thought to be between the ages of 60 and 75 years old.",a sketch of a young man with a hair
12,"In this handout provided by the Metro Nashville Police Department, Travis Reinking, 29, is placed in the back of a police car after being arrested on April 23 in Nashville, Tennessee.",a man sitting in the back of a car
13,"In his statement, Lance Armstrong’s attorney Elliot Peters said, “Lance is delighted to put this behind him.”",a man wearing a helmet and holding his hand up to a crowd
14,"McKayla Maroney attends the New York Society for the Prevention of Cruelty to Children's 2018 Luncheon on April 17, in New York city.",a woman with long brown hair and a white sweater
15,"Bill Cosby arrives for the first day of his sexual assault retrial at the Montgomery County Courthouse in Norristown, Pennsylvania, April 9, 2018.",an old man wearing a suit and tie and a police officer
16,"From left to right, Joanna Coles, Lauren Duca, Terry Crews and moderator Zainab Salbi are seen at the Women in the World Summit on April 14 in New York.",a group of people sitting on a bench on a stage
17,Joe Kelly #56 of the Boston Red Sox clenches his fist and grabs the jersey of Tyler Austin #26 of the New York Yankees.,a group of baseball players sliding into each other
18,"“Just because you are winning does not make abuse OK,"" Olympic gymnast Aly Raisman told an audience at Louisiana State University on Wednesday.",a woman in a black dress smiles at the camera
19,"Police hold back protester Nicolle Rochelle in front of the Montgomery County Courthouse in Norristown, Pennsylvania, on April 9, 2018.",a protester is arrested by police at a protest
