,category,headline,authors,link,short descr,date,image_caption(s),image_link(s),article
0,POLITICS,Democrats Ask FBI To Probe Trump-Russia Links After Their Party Was Hacked,Michael McAuliff,https://www.huffingtonpost.com/entry/donald-trump-russia-links-fbi_us_57c5e36ae4b078581f0fdaba,"All those cozy ties between Trump advisers and Russia could add up to something, four congressmen argue.",2016-08-30,Donald Trump is notable among U.S. politicians for his praise of Vladimir Putin.,https://img.huffingtonpost.com/asset/57c5f1ea1600003503bff7e2.jpeg?cache=klG4L2Fted&ops=scalefit_720_noupscale,"WASHINGTON ― The FBI should investigate whether there was any collusion between Donald Trump’s campaign and Russian hackers suspected of penetrating Democratic servers, according to a letter sent to the bureau by top House Democrats on Tuesday.The email systems of both the Democratic National Committee and the Democratic Congressional Campaign Committee were hacked earlier this year, with damaging data released to Wikileaks just before the Democratic National Convention nominated Hillary Clinton for president.Although federal officials have declined to say publicly that Russia is to blame, the attempt to potentially interfere in the U.S. election is widely believed to have been carried out by Vladimir Putin’s government. Meanwhile, Trump, the GOP’s nominee, has frequently lauded Russia and Putin, and several of his current and former advisers have strong ties to that nation. For the top Democrats on the House Judiciary, Foreign Affairs, Homeland Security, and Oversight and Government Reform committees, those facts are suggestive enough to warrant further investigation.“Serious questions have been raised about overt and covert actions by Trump campaign officials on behalf of Russian interests,” states the letter to FBI Director James Comey from Reps. Eliot Engel (N.Y.), Elijah Cummings (Md.), John Conyers (Mich.) and Bennie Thompson (Miss.).“It is critical for the American public to know whether those actions may have directly caused or indirectly motivated attacks against Democratic institutions and our fundamental election process,” the lawmakers wrote.The letter notes that Trump himself has declared he hopes Russia has obtained Clinton’s email from her time as secretary of state and that his close confidante Roger Stone claims to have intelligence regarding a fresh “October surprise” from Wikileaks.The formal request also points to those Trump advisers with Russian ties, including departed campaign head Paul Manafort, retired Lt. Gen. Michael Flynn, adviser Carter Page, and others.The Trump campaign did not respond to a request for comment.Editor’s note: Donald Trump regularly incites political violence and is a serial liar, rampant xenophobe, racist, misogynist and birther who has repeatedly pledged to ban all Muslims — 1.6 billion members of an entire religion — from entering the U.S."
1,LATINO VOICES,President Obama Mourns The Death Of Juan Gabriel In Touching Statement,Carolina Moreno,https://www.huffingtonpost.com/entry/president-obama-mourns-the-death-of-juan-gabriel_us_57c5a952e4b0664f13caa64a,"""His spirit will live on... in the hearts of the fans who love him.""",2016-08-30,Fans mourned Juan Gabriel with flowers at the Hollywood Walk of Fame on Monday. ,https://img.huffingtonpost.com/asset/57c5ae8c180000dd10bce0d7.jpeg?ops=scalefit_720_noupscale,"President Barack Obama has joined the millions who are mourning the death of Mexican singer-songwriter Juan Gabriel, who died on Sunday.The White House released a statement on the artist’s passing on Monday via Twitter and their website. Obama’s words on the Mexican icon highlight how beloved the singer was across the globe and his enduring legacy. The full statement reads as follows:For over forty years, Juan Gabriel brought his beloved Mexican music to millions, transcending borders and generations. To so many Mexican-Americans, Mexicans and people all over the world, his music sounds like home. With his romantic lyrics, passionate performances and signature style, Juan Gabriel captivated audiences and inspired countless young musicians. He was one of the greats of Latin music―and his spirit will live on in his enduring songs, and in the hearts of the fans who love him. Juan Gabriel was on his 22-city “MeXXIco es Todo” tour at the time of his death. "
2,POLITICS,New York Court Redefines What It Means To Be A Parent,Mollie Reilly,https://www.huffingtonpost.com/entry/new-york-lgbt-parents_us_57c5b7b2e4b0664f13cac43e,The ruling has major implications for same-sex couples.,2016-08-30,Tuesday's ruling is a victory for same-sex parents. ,https://img.huffingtonpost.com/asset/57c5ba5a1800002100bce120.jpeg?cache=S6srqhvXez&ops=crop_0_152_4200_2648%2Cscalefit_720_noupscale,"New York state’s highest court ruled on Tuesday that nonbiological, nonadoptive parents can seek custody or visitation rights, expanding the definition of what it means to be a parent. The New York State Court of Appeals overturned a 1991 decision that defined a parent as a biological or adoptive relative, noting that relationship and family structures have changed dramatically in the 25 years since that ruling was handed down. Nonbiological, nonadoptive parents, the ruling reads, can seek custody if “a partner shows by clear and convincing evidence that the parties agreed to conceive a child and to raise the child together.” The case marks a major victory for people, including many in same-sex relationships, who have elected to raise children they are not biologically related to. “In light of more recently delineated legal principles, the definition of ‘parent’ established by this Court 25 years ago... has become unworkable when applied to increasingly varied familial relationships,” wrote Judge Sheila Abdus-Salaam. The ruling came in response to two cases involving lesbian couples who had had a child together before splitting up. The nonbiological mothers in both cases were denied visitation rights, as they had no legal standing to claim parenthood under the 1991 ruling. Now, people in similar situations will be able to seek visitation or custody. Whether they are granted those rights will still be decided on a case-by-case basis.“This is a major step forward for same-sex couples and especially for the children of those parents,” said attorney Eric Wrubel, who represented the child involved in one of the cases. “Tying the definition of parenthood to biology or adoption was no longer viable. This new ruling will help to protect children, regardless of the marital or financial status of their parents.”"
3,POLITICS,Hillary Clinton Is Doing Better In States With Highly Educated White Populations,Ariel Edwards-Levy and Janie Velencia,https://www.huffingtonpost.com/entry/hillary-clinton-college-educated-whites_us_57c5d19ee4b0664f13cb0530,The demographic is one Donald Trump can't afford to lose.,2016-08-30,"Democratic presidential nominee Hillary Clinton speaks at a rally at Truckee Meadows Community College in Reno, Nevada, Aug. 25, 2016.",https://img.huffingtonpost.com/asset/57c5d7b31700000011c76791.jpeg?ops=scalefit_720_noupscale,"Hillary Clinton is winning in states with a greater proportion of highly educated white voters, a demographic that her rival Donald Trump needs to win over in order to have a shot at the presidency.Clinton polls proportionally better in states that have a higher ratio of white people with college degrees relative to the overall number of white people in the state. As the following chart shows, in the 21 states where HuffPost Pollster has enough survey data to estimate the state of the race, there’s a moderately positive correlation between Clinton’s margin and the percentage of whites over age 25 who’ve obtained a bachelor’s degree.These white, highly educated Americans, who have tended to lean Republican, could help to reshape the electoral map, keeping Clinton competitive in traditionally red states and contributing to her advantage in states like Colorado and Virginia, where races have often been closer.As The Atlantic’s Ron Brownstein notes, winning over educated white voters is crucial for Trump. With white voters who don’t have a college education still largely in Trump’s camp, and nonwhite voters unlikely to give him much support, “that leaves college-educated whites as the campaign’s most closely contested ― and conflicted ― major constituency,” Brownstein wrote in July.“Even if [Trump] grows among blue-collar whites to Reagan ’84 levels, his struggles among non-whites means he likely can’t win without capturing either slightly below or just above 60 percent of college-educated whites, depending on how large a share of the vote they comprise,” Brownstein went on. “For comparison, the exit polls showed Romney winning 56 percent of white-collar whites last time.”Now, a month later, Trump seems increasingly unlikely to match even those numbers. Clinton leads among white voters with college degrees by 10 points, 46 percent to 36 percent, according to the most recent YouGov/Economist poll. Other surveys have shown her leading among that group by smaller margins.If those numbers hold, they would mark a significant realignment along educational lines, making Trump the first Republican presidential candidate in 60 years to lose white college graduates.Clinton’s strength among that demographic is the culmination of a long shift in American politics.As recently as 1992, there was no correlation between the share of a state’s population with a college degree and that state’s willingness to vote Republican, according to Lee Drutman, a senior fellow at the New America Foundation. By 2012, Democrats were performing markedly better in more educated states.“Republicans and Democrats essentially underwent a four-decade exchange program,” Drutman wrote. “Democrats sent Republicans their non-college-educated, culturally conservative white voters, mostly in declining rural and exurban areas, who had once been the core of the New Deal. In return, Democrats got culturally liberal wealthy professionals, largely in prosperous urban and suburban areas, many of whom were once ‘Rockefeller Republicans’ and had once opposed many elements of the New Deal.”Trump’s weakness with well-educated white voters, in fact, could explain his recent outreach to black and Latino voters. Polls have shown that one of the things college-educated whites don’t like about Trump is their belief that he is either racist or willing to use racist themes in his campaign. It’s been argued that his newfound concern about minorities may be less about winning voters of color and more about persuading skeptical white voters that he is not a racist.S.V. Date contributed reporting.Editor’s note: Donald Trump regularly incites political violence and is a serial liar, rampant xenophobe, racist, misogynist and birther who has repeatedly pledged to ban all Muslims — 1.6 billion members of an entire religion — from entering the U.S."
4,POLITICS,California Lawmakers Pass Mandatory Jail Bill Inspired By Stanford Rape Case,"By Dan Whitcomb, Reuters",https://www.huffingtonpost.com/entry/stanford-rape-case-bill_us_57c550f6e4b0cdfc5ac90704,The bill now goes to Democratic Governor Jerry Brown for his approval.,2016-08-30,Former Stanford student Brock Turner was sentenced to six months in county jail for the sexual assault of an unconscious and intoxicated woman. He will be released on Friday.,https://img.huffingtonpost.com/asset/57c552081800002100bcdf93.jpeg?cache=9PsDeHrmmu&ops=scalefit_720_noupscale,"California lawmakers, responding to outrage over the six-month jail term given to a former Stanford University swimmer after his conviction for sexually assaulting an unconscious woman, passed legislation on Monday closing a loophole that allowed the sentence.The bill now goes to Democratic Governor Jerry Brown for his approval. He has not indicated whether he will sign it into law.The measure was introduced in response to the sentence given to 20-year-old Brock Turner by Santa Clara County Superior Court Judge Aaron Persky in June, which was widely condemned as too lenient.Prosecutors had asked that Turner be given six years in state prison. He is scheduled to be released on Friday from jail in Northern California.“Sexually assaulting an unconscious or intoxicated victim is a terrible crime and our laws need to reflect that,” Democratic Assemblyman Bill Dodd, a co-author of the legislation, said in a written statement following its passage.Turner was convicted of assault with intent to commit rape, penetration of an intoxicated person and penetration of an unconscious person in the January 2015 attack. Under California law, those charges are not considered rape because they did not involve penile penetration.The uproar over the sentence, fueled in part by the victim’s harrowing letter in which she detailed the assault in graphic terms, comes amid growing outrage over sexual assault on U.S. college campuses.“This bill is about more than sentencing, it’s about supporting victims and changing the culture on our college campuses to help prevent future crimes,” Dodd said.The case has also led to efforts to remove Persky from the bench. Earlier this month, the judge asked for a transfer to civil court.According to the legislators, current California law calls for a mandatory prison term in cases of rape or sexual assault where force is used, but not when the victim is unconscious or severely intoxicated and thus unable to resist.The bill, which faced no serious opposition in the Democratic-controlled legislature, would eliminate a judge’s discretion to sentence defendants convicted of such crimes to probation. Under its provisions, Turner would have faced a minimum of three years behind bars.Need help? Visit RAINN’s National Sexual Assault Online Hotline or the National Sexual Violence Resource Center’s website."
5,BLACK VOICES,11 Valuable Lessons To Help Women Of Color Thrive In The Workplace,Lilly Workneh,https://www.huffingtonpost.com/entry/11-valuable-lessons-to-help-women-of-color-thrive-in-the-workplace_us_57c3b7d6e4b04193420fc9a4,"""Trying to be a man is a waste of a woman.""",2016-08-30,This year's ColorComm conference attendees stand onstage to celebrate their accomplishments. ,https://img.huffingtonpost.com/asset/57c5df50180000dd10bce1cb.png?ops=scalefit_720_noupscale,"Over 400 women flew to Florida in July to attend this year’s highly-anticipated ColorComm conference which, among other goals, aims to shine a light on the many issues women of color often face in the workplace.ColorComm, which was founded by Lauren Wesley Wilson in 2011, is an organization that helps women of color thrive in the communications field and the annual conference embodies that by providing a space for women to connect, collaborate and learn from one another. Arianna Huffington delivered a remarkable keynote speech at this year’s conference while Essence publisher Michelle E. Banks and motivational speaker Lisa Nichols delivered special remarks on self-care and how to succeed at work and in life. Being a woman in the workplace can prompt feelings of invisibility, casual sexism and lead to a pay gap that could cost black women, in particular, more than $1 million. “ColorComm’s conference focuses on action, professional development, business partnerships and opportunities,” Wilson told HuffPost. “Women leave feeling empowered because the organization advances the visibility and accomplishments of women of color in communications.” This year’s ColorComm conference was filled with valuable lessons for women from women. Here are 11 pieces of advice from the conference that all women of color in the workplace should know: "
6,QUEER VOICES,New Play Finds Hope And Comedy Amid Struggles In Queer Lives,Curtis M. Wong,https://www.huffingtonpost.com/entry/the-jamb-new-play_us_57c4674ce4b09cd22d91ad2e,"""The Jamb"" aspires to be a non-sanitized look at LGBT people ""in all their complexity.""",2016-08-30,"J. Stephen Brantley (left) and Nic Grelli star in ""The Jamb,"" which opens Sept. 1 in New York. ",https://img.huffingtonpost.com/asset/57c467ba1800002100bcdcbe.jpeg?cache=Ibr9xqtEeC&ops=scalefit_720_noupscale,"New York actor-playwright J. Stephen Brantley and director David Drake are hoping to put an optimistic spin on the trials and tribulations of recovering drug addicts in the queer community with a new, introspective play.“The Jamb,” which is billed as a “punk-rock rom-com on crystal meth,” focuses on the lives of two gay men who grew up in a post-Stonewall era, but who came of age before the era of “Will and Grace” and all that followed afterward.Brantley stars as Roderick, a former punk who has “gone straightedge” as he inches closer to 40, embracing LGBT activism and martial arts along the way. His pal, Tuffer (Nic Grellli), has had the opposite trajectory, and continues to abuse substances while dating ― and discarding ― a series of young lovers.When things take a turn for the worse, Roderick stages an intervention that ultimately takes the pair to New Mexico, where they both “hit bottom on the high desert.”The new play, which opens Sept. 1 at the Kraine Theater in Manhattan, echoes themes Brantley first examined in 2014’s “Chicken-Fried Ciccone,” which Drake also directed. That show saw the Texas-born Brantley recalling his struggle with heroin addiction and brush with homelessness through hit Madonna songs, including “Like a Virgin” and “Vogue.”Similarly, “The Jamb” is inspired by music – in this case, punk rock – as well as many of Brantley’s personal experiences with addiction and sex. Still, the actor-playwright told The Huffington Post that he wrote the piece from the “perspective of those who want to save an addict from self-destruction” as opposed to that of an addict themselves.“Even now, we don’t see a whole lot of queer characters over 30 that aren’t tragic or boring. Stories about gay men and drug use tend to end badly, and there is truth in that, of course,” he said. “But there’s also hope and resilience – I should know.”The personal feel of Brantley’s work instantly appealed to Drake, whose award-winning solo play, “The Night Larry Kramer Kissed Me,” was a landmark drama based on his own coming-of-age during the HIV/AIDS crisis.Drake praised Brantley’s “inspiring way of zeroing in on the truth of a moment” and willingness to take “fearless leaps of faith” in his work. The pair first began working on “The Jamb” in 2008, and the eight-year process has “mirrored our own journey of wisdom and maturity,” he said.Noting that he’s “really interested in representing LGBT people in all their complexity,” Brantley was also quick to stress the romantic comedy nature of “The Jamb,” noting that the relationship at the core of the story is partly inspired by the John Hughes classic, “Sixteen Candles.”Ultimately, he sees the show as a reminder of “how much better life is when lived honestly, and shared with others.”“Queer folks have struggled long and hard for their piece but, now that we’re finally at the table, we should split dessert,” he said. “Life is sweeter that way.”J. Stephen Brantley stars in “The Jamb,” which opens Sept. 1 at the Kraine Theater in New York. Head here for more details. "
7,QUEER VOICES,New Play Finds Hope And Comedy Amid Struggles In Queer Lives,Curtis M. Wong,https://www.huffingtonpost.com/entry/the-jamb-new-play_us_57c4674ce4b09cd22d91ad2e,"""The Jamb"" aspires to be a non-sanitized look at LGBT people ""in all their complexity.""",2016-08-30,"Brantley sees his new show as a reminder of “how much better life is when lived honestly, and shared with others.”",https://img.huffingtonpost.com/asset/57c4b9fc1800002100bcde97.jpeg?ops=scalefit_720_noupscale,"New York actor-playwright J. Stephen Brantley and director David Drake are hoping to put an optimistic spin on the trials and tribulations of recovering drug addicts in the queer community with a new, introspective play.“The Jamb,” which is billed as a “punk-rock rom-com on crystal meth,” focuses on the lives of two gay men who grew up in a post-Stonewall era, but who came of age before the era of “Will and Grace” and all that followed afterward.Brantley stars as Roderick, a former punk who has “gone straightedge” as he inches closer to 40, embracing LGBT activism and martial arts along the way. His pal, Tuffer (Nic Grellli), has had the opposite trajectory, and continues to abuse substances while dating ― and discarding ― a series of young lovers.When things take a turn for the worse, Roderick stages an intervention that ultimately takes the pair to New Mexico, where they both “hit bottom on the high desert.”The new play, which opens Sept. 1 at the Kraine Theater in Manhattan, echoes themes Brantley first examined in 2014’s “Chicken-Fried Ciccone,” which Drake also directed. That show saw the Texas-born Brantley recalling his struggle with heroin addiction and brush with homelessness through hit Madonna songs, including “Like a Virgin” and “Vogue.”Similarly, “The Jamb” is inspired by music – in this case, punk rock – as well as many of Brantley’s personal experiences with addiction and sex. Still, the actor-playwright told The Huffington Post that he wrote the piece from the “perspective of those who want to save an addict from self-destruction” as opposed to that of an addict themselves.“Even now, we don’t see a whole lot of queer characters over 30 that aren’t tragic or boring. Stories about gay men and drug use tend to end badly, and there is truth in that, of course,” he said. “But there’s also hope and resilience – I should know.”The personal feel of Brantley’s work instantly appealed to Drake, whose award-winning solo play, “The Night Larry Kramer Kissed Me,” was a landmark drama based on his own coming-of-age during the HIV/AIDS crisis.Drake praised Brantley’s “inspiring way of zeroing in on the truth of a moment” and willingness to take “fearless leaps of faith” in his work. The pair first began working on “The Jamb” in 2008, and the eight-year process has “mirrored our own journey of wisdom and maturity,” he said.Noting that he’s “really interested in representing LGBT people in all their complexity,” Brantley was also quick to stress the romantic comedy nature of “The Jamb,” noting that the relationship at the core of the story is partly inspired by the John Hughes classic, “Sixteen Candles.”Ultimately, he sees the show as a reminder of “how much better life is when lived honestly, and shared with others.”“Queer folks have struggled long and hard for their piece but, now that we’re finally at the table, we should split dessert,” he said. “Life is sweeter that way.”J. Stephen Brantley stars in “The Jamb,” which opens Sept. 1 at the Kraine Theater in New York. Head here for more details. "
8,POLITICS,Trump Hits Clinton For Not Doing News Conferences While Banning Reporters From His Pressers,S.V. Date,https://www.huffingtonpost.com/entry/donald-trump-news-conference-media_us_57c5f496e4b0a22de092e8f4,The GOP nominee's media blacklist has excluded a big chunk of the press corps.,2016-08-30,"Donald Trump and the Republican Party have attacked Democratic nominee Hillary Clinton for not holding news conferences, even though he has banned dozens of reporters from attending his own.",https://img.huffingtonpost.com/asset/57c5f6d9180000dd10bce262.jpeg?ops=scalefit_720_noupscale,"WASHINGTON – Republicans have ramped up their hammering of Hillary Clinton for not holding a news conference this year – even as their own presidential nominee has been banning dozens of journalists from participating in his.Trump has banned Univision, Buzzfeed, The Huffington Post, The Daily Beast, The Des Moines Register, Politico and The Washington Post from receiving credentials to his campaign events, including news conferences. The ban prevents reporters who have produced some of the most critical coverage of Trump from even attending, let alone asking questions.The news organizations were blacklisted because of coverage Trump did not like. (Many of the banned news organizations, though, including this publication, are taking part in a rotation for pool coverage of Trump through the election.) The Des Moines Register was banned after its editorial board called on Trump to drop out of the GOP race last July. HuffPost was also banned last summer after its editors relegated coverage of Trump to its entertainment section. Politico was banned this spring after it ran a story questioning the temperament of its first campaign manager.This record, though, has not stopped Trump and the RNC from trying to exploit the Democratic presidential nominee’s aversion to question-and-answer sessions with the reporters who cover her campaign daily.At the Democratic National Convention in Philadelphia, former New York City mayor Rudy Giuliani scolded reporters for not more forcefully demanding news conferences from Clinton. “You, the press should be ashamed of yourself. You should be ashamed for not doing your job,” said Giuliani, now a top Trump supporter. “She should not be allowed to run for president and hide in an ivory tower.”In the intervening weeks, Republican leaders have taken to taunting Clinton on Twitter, in interviews and in their daily emails to campaign reporters.“Why is the press OK with that?” asked Trump campaign manager Kellyanne Conway last week on CNBC. “Two hundred and sixty days, you could have had a baby by then.”Starting last week, the campaign also began sending out emails counting how many days have passed since Clinton’s last formal news conference in December. “HIDING HILLARY: DAY 269,” was the subject line for Tuesday’s, which included a statement from Trump spokesman Jason Miller demanding “full transparency.”On the issue of transparency, however, the Trump campaign lags far behind the Clinton operation in one key area: fundraising.The Clinton campaign, from the day it was launched, has disclosed the location of every fundraiser, the name of the hosts, how many were in attendance and what the minimum donation amount was. The practice has been common for presidential campaigns in recent years. Both President Barack Obama and GOP nominee Mitt Romney routinely disclosed this information in 2012.Clinton, for example, on Monday released information on three fundraisers she attended in the Hamptons. The third, according to the campaign, was held at the home of Tracy and Jay Snyder in East Hampton, where the 25 attendees each donated a minimum of $33,400 to attend.Trump also held a fundraiser Monday, at a private home near the Stanford University campus in Woodside, California. His campaign revealed zero information about who attended or how much was raised.Neither the Trump campaign nor the Republican National Committee, which co-sponsors his events as part of a joint fundraising agreement, responded to requests for comment from HuffPost.The names of donors and the amounts contributed are eventually reported to the Federal Election Commission, but those records do not reveal the names of the hosts or event locations.Editor’s note: Donald Trump regularly incites political violence and is a serial liar, rampant xenophobe, racist, misogynist and birther who has repeatedly pledged to ban all Muslims — 1.6 billion members of an entire religion — from entering the U.S."
9,BLACK VOICES,Jerry Rice Rebukes Colin Kaepernick: 'All Lives Matter',Daniel Marans,https://www.huffingtonpost.com/entry/jerry-rice-colin-kaepernick-all-lives-matter_us_57c5a2a6e4b0664f13ca9a3b,The former football player trotted out the flawed argument on Twitter.,2016-08-30,Former San Francisco 49ers wide receiver Jerry Rice publicly challenged Colin Kaepernick's national anthem protest.,https://img.huffingtonpost.com/asset/57c5a389180000dd10bce098.jpeg?cache=LMj1LL4xNy&ops=scalefit_720_noupscale,"Football legend Jerry Rice used a discredited talking point to ask San Francisco 49ers quarterback Colin Kaepernick to end his protest of the national anthem.Rice, a Hall of Fame wide receiver who spent the bulk of his career on the 49ers, began a tweet about Kaepernick on Monday night with the phrase “all lives matter.” He then asked the NFL player to stand for “The Star-Spangled Banner” so as not to “disrespect the Flag.”“All lives matter” is a critical retort to the phrase “black lives matter,” as well as the protest movement against police brutality and structural racism that goes by the same name. The “all lives matter” camp fails to realize that the lives of black Americans are disproportionately destroyed by the criminal justice system, civil rights advocates point out.Some Twitter users scolded Rice for the controversial tweet and for speaking out against Kaepernick’s actions at all.Rice’s tweet also appears to reference a quote from Rodney King, the victim of a horrendous police beating in 1991 that was caught on camera. After a jury acquitted the Los Angeles cops involved in the incident, King famously pleaded against rioting by saying, “Can we all get along?”Rice used almost the same wording on Twitter.Kaepernick refused to stand for the national anthem at a preseason game on Friday night, arguing that he did not want to “show pride in a flag for a country that oppresses black people and people of color.” Despite criticism from other players and the public, the 49ers quarterback is defending the gesture as a way to protest racism in the U.S., particularly police brutality.Kaepernick said on Sunday that he will sit during the anthem in forthcoming football games."
