,category,headline,authors,link,short descr,date,image_caption(s),image_link(s)
0,STYLE,Rebel Wilson 'Crushed' Court Dress Along With Her Court Case,Jamie Feldman,https://www.huffingtonpost.com/entry/rebel-wilson-court_us_594280fde4b09ad4fbe5a80f,All. The. Yes.,2017-06-15,Courtroom chic. ,https://img.huffingtonpost.com/asset/594283e215000045004e6785.jpeg?ops=scalefit_720_noupscale
1,STYLE,Rebel Wilson 'Crushed' Court Dress Along With Her Court Case,Jamie Feldman,https://www.huffingtonpost.com/entry/rebel-wilson-court_us_594280fde4b09ad4fbe5a80f,All. The. Yes.,2017-06-15,YES. ,https://img.huffingtonpost.com/asset/594285cd2100002a0033c561.jpeg?ops=scalefit_720_noupscale
2,STYLE,Rebel Wilson 'Crushed' Court Dress Along With Her Court Case,Jamie Feldman,https://www.huffingtonpost.com/entry/rebel-wilson-court_us_594280fde4b09ad4fbe5a80f,All. The. Yes.,2017-06-15,,https://img.huffingtonpost.com/asset/62e5fd782600003e00984a16.jpeg?cache=8PdgKN9nnC&ops=210_120
3,ENTERTAINMENT,'Nobody Speak' Shows Just How Hard The Press Is Fighting To Survive,Jenna Amatulli,https://www.huffingtonpost.com/entry/nobody-speak-shows-just-how-hard-the-press-is-fighting-to-survive_us_5942b16fe4b0f15cd5b9bb79,A new documentary focuses on the fight to preserve First Amendment rights in media.,2017-06-15,Jenna Amatulli,https://img.huffingtonpost.com/asset/5c3cd2872500003c00c58a38.jpg?ops=100_100
4,ENTERTAINMENT,'Nobody Speak' Shows Just How Hard The Press Is Fighting To Survive,Jenna Amatulli,https://www.huffingtonpost.com/entry/nobody-speak-shows-just-how-hard-the-press-is-fighting-to-survive_us_5942b16fe4b0f15cd5b9bb79,A new documentary focuses on the fight to preserve First Amendment rights in media.,2017-06-15,,https://img.huffingtonpost.com/asset/5942ba4a16000021001165c8.png?ops=scalefit_720_noupscale
5,ENTERTAINMENT,'Nobody Speak' Shows Just How Hard The Press Is Fighting To Survive,Jenna Amatulli,https://www.huffingtonpost.com/entry/nobody-speak-shows-just-how-hard-the-press-is-fighting-to-survive_us_5942b16fe4b0f15cd5b9bb79,A new documentary focuses on the fight to preserve First Amendment rights in media.,2017-06-15,,https://img.huffingtonpost.com/asset/62e98cb42500006600bf0bf5.jpeg?ops=210_120
6,COMEDY,"ChristianBees.com Is Where Karen Pence Got Those 20,000 Bees",Andy McDonald,https://www.huffingtonpost.com/entry/christianbeescom-is-where-karen-pence-got-those-20000-bees_us_5942d58fe4b01eab7a2c48a9,A bee hive in every home!,2017-06-15,Andy McDonald,https://img.huffingtonpost.com/asset/55f1b6b3170000b900569da5.jpg?ops=100_100
7,COMEDY,"ChristianBees.com Is Where Karen Pence Got Those 20,000 Bees",Andy McDonald,https://www.huffingtonpost.com/entry/christianbeescom-is-where-karen-pence-got-those-20000-bees_us_5942d58fe4b01eab7a2c48a9,A bee hive in every home!,2017-06-15,,https://img.huffingtonpost.com/asset/62b35c2922000053364f7642.jpeg?cache=KjXczxjIoC&ops=210_120
8,COMEDY,"ChristianBees.com Is Where Karen Pence Got Those 20,000 Bees",Andy McDonald,https://www.huffingtonpost.com/entry/christianbeescom-is-where-karen-pence-got-those-20000-bees_us_5942d58fe4b01eab7a2c48a9,A bee hive in every home!,2017-06-15,,https://img.huffingtonpost.com/asset/62e7de1d2700004300ba03e8.jpg?cache=0Iig4qJxxR&ops=210_120
9,POLITICS,"After Shooting Of GOP Lawmakers, Senate Extremism Hearing Focuses Only On Muslims",Christopher Mathias,https://www.huffingtonpost.com/entry/senate-hearing-ayaan-hirsi-ali-asra-nomani_us_5942e7f2e4b01eab7a2c6b01,And it featured testimony from witnesses pushing anti-Muslim conspiracy theories.,2017-06-15,Christopher Mathias,https://img.huffingtonpost.com/asset/5c122c842400006b049a2da5.jpeg?ops=100_100
10,POLITICS,"After Shooting Of GOP Lawmakers, Senate Extremism Hearing Focuses Only On Muslims",Christopher Mathias,https://www.huffingtonpost.com/entry/senate-hearing-ayaan-hirsi-ali-asra-nomani_us_5942e7f2e4b01eab7a2c6b01,And it featured testimony from witnesses pushing anti-Muslim conspiracy theories.,2017-06-15,,https://img.huffingtonpost.com/asset/5942eff316000022001166b1.jpeg?ops=scalefit_720_noupscale
11,POLITICS,"After Shooting Of GOP Lawmakers, Senate Extremism Hearing Focuses Only On Muslims",Christopher Mathias,https://www.huffingtonpost.com/entry/senate-hearing-ayaan-hirsi-ali-asra-nomani_us_5942e7f2e4b01eab7a2c6b01,And it featured testimony from witnesses pushing anti-Muslim conspiracy theories.,2017-06-15,,https://img.huffingtonpost.com/asset/62e890982500003d00333ade.jpeg?cache=IbxOCPk03i&ops=210_120
12,COMEDY,Late Night Hosts Gave Donald Trump The Best Gags For His 71st Birthday,Lee Moran,https://www.huffingtonpost.com/entry/donald-trump-birthday-late-night-hosts-corden-meyers_us_59427a55e4b003d5948d6f81,"""I'm glad Donald Trump can finally have a day when he's the center of attention.""",2017-06-15,Lee Moran,https://img.huffingtonpost.com/asset/5d243183250000b21ae9cc35.jpg?ops=100_100
13,COMEDY,Late Night Hosts Gave Donald Trump The Best Gags For His 71st Birthday,Lee Moran,https://www.huffingtonpost.com/entry/donald-trump-birthday-late-night-hosts-corden-meyers_us_59427a55e4b003d5948d6f81,"""I'm glad Donald Trump can finally have a day when he's the center of attention.""",2017-06-15,,https://img.huffingtonpost.com/asset/62e93e8024000038003d5d5c.png?ops=210_120
