,category,headline,authors,link,short descr,date,image_caption(s),image_link(s)
0,POLITICS,Watch The Moment Protesters Found Out A Court Blocked Trump's Refugee Ban,Ishita Singh,https://www.huffingtonpost.com/entry/protestors-court-order-trump-refugee-ban_us_588d5e0fe4b017637794d258,"Demonstrators chanted ""refugees are welcome here"" and ""love trumps hate.""",2017-01-29,Ishita Singh,https://img.huffingtonpost.com/asset/559d70ca1b0000250085903a.jpg?ops=100_100
1,POLITICS,Watch The Moment Protesters Found Out A Court Blocked Trump's Refugee Ban,Ishita Singh,https://www.huffingtonpost.com/entry/protestors-court-order-trump-refugee-ban_us_588d5e0fe4b017637794d258,"Demonstrators chanted ""refugees are welcome here"" and ""love trumps hate.""",2017-01-29,,https://img.huffingtonpost.com/asset/62e890982500003d00333ade.jpeg?cache=IbxOCPk03i&ops=210_120
2,POLITICS,Watch The Moment Protesters Found Out A Court Blocked Trump's Refugee Ban,Ishita Singh,https://www.huffingtonpost.com/entry/protestors-court-order-trump-refugee-ban_us_588d5e0fe4b017637794d258,"Demonstrators chanted ""refugees are welcome here"" and ""love trumps hate.""",2017-01-29,,https://img.huffingtonpost.com/asset/62e97db62600005c00d412ff.jpeg?ops=210_120
3,POLITICS,Just 2 Of Trump's 19 CEO Advisers Condemn Order Targeting Muslims Over Chaotic Weekend,Emily Peck and Ben Walsh,https://www.huffingtonpost.com/entry/ceo-trump-muslims_us_588d5f26e4b08a14f7e66d10,It appears that many in the influential group aren't brave enough to stand up to the president.,2017-01-29,Elon Musk was one of the two CEOs who spoke publicly against Donald Trump's executive order targeting Muslims and refugees.,https://img.huffingtonpost.com/asset/588d5fef1b0000260004d003.jpeg?ops=scalefit_720_noupscale
4,POLITICS,Just 2 Of Trump's 19 CEO Advisers Condemn Order Targeting Muslims Over Chaotic Weekend,Emily Peck and Ben Walsh,https://www.huffingtonpost.com/entry/ceo-trump-muslims_us_588d5f26e4b08a14f7e66d10,It appears that many in the influential group aren't brave enough to stand up to the president.,2017-01-29,,https://img.huffingtonpost.com/asset/62e24ea7250000dfb047727a.jpeg?cache=wjpX9eDoaQ&ops=210_120
5,POLITICS,Just 2 Of Trump's 19 CEO Advisers Condemn Order Targeting Muslims Over Chaotic Weekend,Emily Peck and Ben Walsh,https://www.huffingtonpost.com/entry/ceo-trump-muslims_us_588d5f26e4b08a14f7e66d10,It appears that many in the influential group aren't brave enough to stand up to the president.,2017-01-29,,https://img.huffingtonpost.com/asset/62e075622500007a9a47709e.jpeg?cache=SOVSZcJsvI&ops=210_120
6,ENTERTAINMENT,Academy Calls Possible Effect Of Trump's Ban On Foreign Nominees 'Extremely Troubling',Cole Delbyck,https://www.huffingtonpost.com/entry/academy-awards-trump-ban_us_588cca81e4b08a14f7e62883,Director Asghar Farhadi is one Oscar nominee who could miss the ceremony.,2017-01-29,Cole Delbyck,https://img.huffingtonpost.com/asset/5cc855a6240000090c524d4f.jpg?ops=100_100
7,ENTERTAINMENT,Academy Calls Possible Effect Of Trump's Ban On Foreign Nominees 'Extremely Troubling',Cole Delbyck,https://www.huffingtonpost.com/entry/academy-awards-trump-ban_us_588cca81e4b08a14f7e62883,Director Asghar Farhadi is one Oscar nominee who could miss the ceremony.,2017-01-29,"Asghar Farhadi poses with his Academy Award for best foreign language film for ""A Separation"" in 2012.",https://img.huffingtonpost.com/asset/588cd97117000030001d0e98.jpeg?cache=Bqn0Mlak0y&ops=scalefit_720_noupscale
8,ENTERTAINMENT,Academy Calls Possible Effect Of Trump's Ban On Foreign Nominees 'Extremely Troubling',Cole Delbyck,https://www.huffingtonpost.com/entry/academy-awards-trump-ban_us_588cca81e4b08a14f7e62883,Director Asghar Farhadi is one Oscar nominee who could miss the ceremony.,2017-01-29,,https://img.huffingtonpost.com/asset/62e890982500003d00333ade.jpeg?cache=IbxOCPk03i&ops=210_120
9,POLITICS,Striking New York Cabbies Join Airport Protest Against Trump's Muslim Crackdown,Mary Papenfuss,https://www.huffingtonpost.com/entry/new-york-cabbies-strike-muslim-ban_us_588d2cd0e4b0b065cbbc6512,"Drivers slam the president's ""inhumane and unconstitutional ban.""",2017-01-29,Mary Papenfuss,https://img.huffingtonpost.com/asset/5c53f909360000000b68109e.jpg?ops=100_100
10,POLITICS,Striking New York Cabbies Join Airport Protest Against Trump's Muslim Crackdown,Mary Papenfuss,https://www.huffingtonpost.com/entry/new-york-cabbies-strike-muslim-ban_us_588d2cd0e4b0b065cbbc6512,"Drivers slam the president's ""inhumane and unconstitutional ban.""",2017-01-29,,https://img.huffingtonpost.com/asset/62e93ea42700005d005a278b.jpeg?ops=210_120
11,POLITICS,Striking New York Cabbies Join Airport Protest Against Trump's Muslim Crackdown,Mary Papenfuss,https://www.huffingtonpost.com/entry/new-york-cabbies-strike-muslim-ban_us_588d2cd0e4b0b065cbbc6512,"Drivers slam the president's ""inhumane and unconstitutional ban.""",2017-01-29,,https://img.huffingtonpost.com/asset/62e7f1552700008509ba0402.jpeg?ops=210_120
12,POLITICS,U.S. Commanders Deeply Concerned About Trump's Refugee And Travel Ban,Amanda Terkel,https://www.huffingtonpost.com/entry/troops-donald-trump-immigration_us_588e114be4b0b065cbbc9573,They're worried the policy will have detrimental effects on the overseas fight against terrorism.,2017-01-29,Amanda Terkel,https://img.huffingtonpost.com/asset/5cd094111f00002f003189ee.png?ops=100_100
13,POLITICS,U.S. Commanders Deeply Concerned About Trump's Refugee And Travel Ban,Amanda Terkel,https://www.huffingtonpost.com/entry/troops-donald-trump-immigration_us_588e114be4b0b065cbbc9573,They're worried the policy will have detrimental effects on the overseas fight against terrorism.,2017-01-29,,https://img.huffingtonpost.com/asset/62e24ea7250000dfb047727a.jpeg?cache=wjpX9eDoaQ&ops=210_120
14,POLITICS,U.S. Commanders Deeply Concerned About Trump's Refugee And Travel Ban,Amanda Terkel,https://www.huffingtonpost.com/entry/troops-donald-trump-immigration_us_588e114be4b0b065cbbc9573,They're worried the policy will have detrimental effects on the overseas fight against terrorism.,2017-01-29,,https://img.huffingtonpost.com/asset/62e139f121000063d05f0f0a.png?ops=210_120
15,POLITICS,GOP Senator: Trump's Immigration Order 'Was Not Properly Vetted',Laura Bassett,https://www.huffingtonpost.com/entry/rob-portman-trump-executive-order_us_588dfce3e4b08a14f7e6865f,"""We ought to take a deep breath and come up with something that makes sense.""",2017-01-29,Laura Bassett,https://img.huffingtonpost.com/asset/5bff3b6d2600004402847ffe.jpg?ops=100_100
16,POLITICS,GOP Senator: Trump's Immigration Order 'Was Not Properly Vetted',Laura Bassett,https://www.huffingtonpost.com/entry/rob-portman-trump-executive-order_us_588dfce3e4b08a14f7e6865f,"""We ought to take a deep breath and come up with something that makes sense.""",2017-01-29,,https://img.huffingtonpost.com/asset/62e075622500007a9a47709e.jpeg?cache=SOVSZcJsvI&ops=210_120
17,POLITICS,GOP Senator: Trump's Immigration Order 'Was Not Properly Vetted',Laura Bassett,https://www.huffingtonpost.com/entry/rob-portman-trump-executive-order_us_588dfce3e4b08a14f7e6865f,"""We ought to take a deep breath and come up with something that makes sense.""",2017-01-29,,https://img.huffingtonpost.com/asset/62e85e9b2700008b09ba0483.jpg?cache=pDVaCI9g4K&ops=210_120
18,POLITICS,Kellyanne Conway: 'I Was Stopped Many Times After 9/11' Though I Don't 'Resemble' Terrorists,Laura Bassett,https://www.huffingtonpost.com/entry/kellyanne-conway-airport-stop-immigration_us_588e1114e4b017637794f37f,"""It's a small price to pay,"" she said.",2017-01-29,Laura Bassett,https://img.huffingtonpost.com/asset/5bff3b6d2600004402847ffe.jpg?ops=100_100
