,category,headline,authors,link,short descr,date,image_caption(s),image_link(s)
0,GREEN,"As Officials Attempt To Protect Dams, More Houston Neighborhoods Deal With Flooding",Roque Planas and David Lohr,https://www.huffingtonpost.com/entry/houston-dams-flooding_us_59a44a30e4b05710aa5df3d8,The Army Corps of Engineers has been releasing water from reservoirs in hopes of preventing dam collapse.,2017-08-28,,https://img.huffingtonpost.com/asset/59a44cd41e00003c00a7484f.jpeg?ops=scalefit_720_noupscale
1,GREEN,"As Officials Attempt To Protect Dams, More Houston Neighborhoods Deal With Flooding",Roque Planas and David Lohr,https://www.huffingtonpost.com/entry/houston-dams-flooding_us_59a44a30e4b05710aa5df3d8,The Army Corps of Engineers has been releasing water from reservoirs in hopes of preventing dam collapse.,2017-08-28,A person is rescued in a Houston neighborhood after water was released to ease overflowing on nearby reservoirs.,https://img.huffingtonpost.com/asset/59a44cd41e00002800a74850.jpeg?ops=scalefit_720_noupscale
2,GREEN,"As Officials Attempt To Protect Dams, More Houston Neighborhoods Deal With Flooding",Roque Planas and David Lohr,https://www.huffingtonpost.com/entry/houston-dams-flooding_us_59a44a30e4b05710aa5df3d8,The Army Corps of Engineers has been releasing water from reservoirs in hopes of preventing dam collapse.,2017-08-28,"Bobbie, Gracie and Nolen Shumaker boated to safety Monday with their dog Coco in tow.",https://img.huffingtonpost.com/asset/59a4752f1e00003c00c5fac7.jpeg?ops=scalefit_720_noupscale
3,GREEN,Catastrophic Floods Threaten Millions After Hurricane Harvey Drenches Houston,"Roque Planas, Alana Horowitz Satlin, David Lohr, Eline Gordts, and Nick Baumann",https://www.huffingtonpost.com/entry/houston-monday-harvey-update-dams_us_59a36d59e4b06d67e3389e47,Over 30 inches of rain fell on some parts of southeast Texas.,2017-08-28,"In this photo provided by the Army National Guard, a Texas National Guardsman carries a resident from her flooded home following Hurricane Harvey on Aug. 27 in Houston.",https://img.huffingtonpost.com/asset/59a4350e1e00002700c5f9ba.jpeg?ops=scalefit_720_noupscale
4,GREEN,Catastrophic Floods Threaten Millions After Hurricane Harvey Drenches Houston,"Roque Planas, Alana Horowitz Satlin, David Lohr, Eline Gordts, and Nick Baumann",https://www.huffingtonpost.com/entry/houston-monday-harvey-update-dams_us_59a36d59e4b06d67e3389e47,Over 30 inches of rain fell on some parts of southeast Texas.,2017-08-28,Residents use a truck to navigate through flood waters from Tropical Storm Harvey in Houston on Aug. 27.,https://img.huffingtonpost.com/asset/59a4606a1e00003c00c5fa83.jpeg?ops=scalefit_720_noupscale
5,GREEN,Catastrophic Floods Threaten Millions After Hurricane Harvey Drenches Houston,"Roque Planas, Alana Horowitz Satlin, David Lohr, Eline Gordts, and Nick Baumann",https://www.huffingtonpost.com/entry/houston-monday-harvey-update-dams_us_59a36d59e4b06d67e3389e47,Over 30 inches of rain fell on some parts of southeast Texas.,2017-08-28,A submerged car is seen on Interstate 610 North on Aug. 27 in Houston as the city battles with tropical storm Harvey and the resulting floods.,https://img.huffingtonpost.com/asset/59a42f141e00002700c5f993.jpeg?ops=scalefit_720_noupscale
6,COMEDY,We Can't Stop LOL-ing At Jason Segel In Front Of Small Doors,Jenna Amatulli,https://www.huffingtonpost.com/entry/we-cant-stop-lol-ing-at-jason-segel-in-front-of-small-doors_us_59a46e40e4b0446b3b85a341,The comedian's got this schtick on lock.,2017-08-28,Jenna Amatulli,https://img.huffingtonpost.com/asset/5c3cd2872500003c00c58a38.jpg?ops=100_100
7,COMEDY,We Can't Stop LOL-ing At Jason Segel In Front Of Small Doors,Jenna Amatulli,https://www.huffingtonpost.com/entry/we-cant-stop-lol-ing-at-jason-segel-in-front-of-small-doors_us_59a46e40e4b0446b3b85a341,The comedian's got this schtick on lock.,2017-08-28,,https://img.huffingtonpost.com/asset/62e967b52600005c00d412e4.jpeg?cache=uv15oDCqPU&ops=210_120
8,COMEDY,We Can't Stop LOL-ing At Jason Segel In Front Of Small Doors,Jenna Amatulli,https://www.huffingtonpost.com/entry/we-cant-stop-lol-ing-at-jason-segel-in-front-of-small-doors_us_59a46e40e4b0446b3b85a341,The comedian's got this schtick on lock.,2017-08-28,,https://img.huffingtonpost.com/asset/62cba22a250000a16c475c90.jpg?cache=89pS8fCkLs&ops=210_120
9,POLITICS,"Mexico To Trump: No, We're Definitely Not Paying For Your Border Wall",Dominique Mosbergen,https://www.huffingtonpost.com/entry/mexico-trump-border-wall-twitter_us_59a3d93ae4b05710aa5d6e6c,"But the country has offered help to the U.S. as Tropical Storm Harvey batters Texas, saying that's what ""good neighbors"" do.",2017-08-28,Dominique Mosbergen,https://img.huffingtonpost.com/asset/5c1a07db2400001b008c87e6.jpg?ops=100_100
10,POLITICS,"Mexico To Trump: No, We're Definitely Not Paying For Your Border Wall",Dominique Mosbergen,https://www.huffingtonpost.com/entry/mexico-trump-border-wall-twitter_us_59a3d93ae4b05710aa5d6e6c,"But the country has offered help to the U.S. as Tropical Storm Harvey batters Texas, saying that's what ""good neighbors"" do.",2017-08-28,,https://img.huffingtonpost.com/asset/62e5b8cd2400003c00d584dd.png?ops=210_120
11,POLITICS,"Mexico To Trump: No, We're Definitely Not Paying For Your Border Wall",Dominique Mosbergen,https://www.huffingtonpost.com/entry/mexico-trump-border-wall-twitter_us_59a3d93ae4b05710aa5d6e6c,"But the country has offered help to the U.S. as Tropical Storm Harvey batters Texas, saying that's what ""good neighbors"" do.",2017-08-28,,https://img.huffingtonpost.com/asset/62e13d63220000a1be4fa265.png?ops=210_120
